"Group.1","Group.2","x"
"2015","TIPO 1",62616415
"2016","TIPO 1",64550254
"2017","TIPO 1",66310173
"2015","TIPO 2",36855797
"2016","TIPO 2",38549320
"2017","TIPO 2",40233791
"2015","TIPO 3",207625896
"2016","TIPO 3",213020145
"2017","TIPO 3",218232487
"2015","TIPO 4",1899265
"2016","TIPO 4",1924925
"2017","TIPO 4",1944220
"2015","TIPO 5",10212757
"2016","TIPO 5",10312702
"2017","TIPO 5",10390022
"2015","TIPO 6",6183885
"2016","TIPO 6",6470317
"2017","TIPO 6",6753985
"2015","TIPO 7",1479970
"2016","TIPO 7",1485560
"2017","TIPO 7",1488508
